REGION,COMUNA DESTINO
ÑUBLE (XVI),EL CARMEN
ÑUBLE (XVI),NINHUE
ÑUBLE (XVI),NIQUEN
ÑUBLE (XVI),PEMUCO
ÑUBLE (XVI),PINTO
ÑUBLE (XVI),PORTEZUELO
ÑUBLE (XVI),QUILLON
ÑUBLE (XVI),QUIRIHUE
ÑUBLE (XVI),RANQUIL
ÑUBLE (XVI),SAN CARLOS
ÑUBLE (XVI),SAN FABIAN
ÑUBLE (XVI),SAN IGNACIO
ÑUBLE (XVI),SAN NICOLAS
ÑUBLE (XVI),TREHUACO
ÑUBLE (XVI),YUNGAY
BIO-BIO (VIII),CONCEPCION
BIO-BIO (VIII),ALTO BIOBIO
BIO-BIO (VIII),ANTUCO
BIO-BIO (VIII),ARAUCO
BIO-BIO (VIII),CABRERO
BIO-BIO (VIII),CANETE
BIO-BIO (VIII),CHIGUAYANTE
BIO-BIO (VIII),CONTULMO
BIO-BIO (VIII),CORONEL
BIO-BIO (VIII),CURANILAHUE
BIO-BIO (VIII),FLORIDA
BIO-BIO (VIII),HUALPEN
BIO-BIO (VIII),HUALQUI
BIO-BIO (VIII),LAJA
BIO-BIO (VIII),LEBU
BIO-BIO (VIII),LOS ALAMOS
BIO-BIO (VIII),LOS ANGELES
BIO-BIO (VIII),LOTA
BIO-BIO (VIII),MULCHEN
BIO-BIO (VIII),NACIMIENTO
BIO-BIO (VIII),NEGRETE
BIO-BIO (VIII),PENCO
BIO-BIO (VIII),QUILACO
BIO-BIO (VIII),QUILLECO
BIO-BIO (VIII),SAN PEDRO DE LA PAZ
BIO-BIO (VIII),SAN ROSENDO
BIO-BIO (VIII),SANTA BARBARA
BIO-BIO (VIII),SANTA JUANA
BIO-BIO (VIII),TALCAHUANO
BIO-BIO (VIII),TIRUA
BIO-BIO (VIII),TOME
BIO-BIO (VIII),TUCAPEL
BIO-BIO (VIII),YUMBEL
ARAUCANIA (IX),TEMUCO
ARAUCANIA (IX),ANGOL
ARAUCANIA (IX),CARAHUE
ARAUCANIA (IX),CHOL CHOL
ARAUCANIA (IX),COLLIPULLI
ARAUCANIA (IX),CUNCO
ARAUCANIA (IX),CURACAUTIN
ARAUCANIA (IX),CURARREHUE
ARAUCANIA (IX),ERCILLA
ARAUCANIA (IX),FREIRE
ARAUCANIA (IX),GALVARINO
ARAUCANIA (IX),GORBEA
ARAUCANIA (IX),LAUTARO
ARAUCANIA (IX),LONCOCHE
ARAUCANIA (IX),LONQUIMAY
ARAUCANIA (IX),LOS SAUCES
ARAUCANIA (IX),MELIPEUCO
ARAUCANIA (IX),NUEVA IMPERIAL
ARAUCANIA (IX),PADRE LAS CASAS
ARAUCANIA (IX),PERQUENCO
ARAUCANIA (IX),PITRUFQUEN
ARAUCANIA (IX),PUCON
ARAUCANIA (IX),SAAVEDRA
ARAUCANIA (IX),PUREN
ARAUCANIA (IX),RENAICO
ARAUCANIA (IX),TEODORO SCHMIDT
ARAUCANIA (IX),TOLTEN
ARAUCANIA (IX),TRAIGUEN
ARAUCANIA (IX),LUMACO
ARAUCANIA (IX),VICTORIA
ARAUCANIA (IX),VILCUN
ARAUCANIA (IX),VILLARRICA
LOS RIOS (XIV),VALDIVIA
LOS RIOS (XIV),CORRAL
LOS RIOS (XIV),FUTRONO
LOS RIOS (XIV),LA UNION
LOS RIOS (XIV),LAGO RANCO
LOS RIOS (XIV),LANCO
LOS RIOS (XIV),LOS LAGOS
LOS RIOS (XIV),MAFIL
LOS RIOS (XIV),PAILLACO
LOS RIOS (XIV),PANGUIPULLI
LOS RIOS (XIV),RIO BUENO
LOS RIOS (XIV),MARIQUINA
LOS LAGOS (X),OSORNO
LOS LAGOS (X),PUERTO MONTT
LOS LAGOS (X),CHAITEN
LOS LAGOS (X),COCHAMO
LOS LAGOS (X),FUTALEUFU
LOS LAGOS (X),HUALAIHUE
LOS LAGOS (X),PALENA
LOS LAGOS (X),SAN JUAN DE LA COSTA
LOS LAGOS (X),ANCUD
LOS LAGOS (X),CALBUCO
LOS LAGOS (X),CASTRO
LOS LAGOS (X),QUEILEN
LOS LAGOS (X),PUQUELDON
LOS LAGOS (X),CURACO DE VELEZ
LOS LAGOS (X),QUEMCHI
LOS LAGOS (X),QUINCHAO
LOS LAGOS (X),CHONCHI
LOS LAGOS (X),DALCAHUE
LOS LAGOS (X),FRESIA
LOS LAGOS (X),FRUTILLAR
LOS LAGOS (X),LLANQUIHUE
LOS LAGOS (X),LOS MUERMOS
LOS LAGOS (X),MAULLIN
LOS LAGOS (X),PUERTO OCTAY
LOS LAGOS (X),PUYEHUE
LOS LAGOS (X),PUERTO VARAS
LOS LAGOS (X),PURRANQUE
LOS LAGOS (X),QUELLON
LOS LAGOS (X),RIO NEGRO
LOS LAGOS (X),SAN PABLO
ARICA Y PARINACOTA (XV),ARICA
ARICA Y PARINACOTA (XV),CAMARONES
ARICA Y PARINACOTA (XV),GENERAL LAGOS
ARICA Y PARINACOTA (XV),PUTRE
TARAPACA (I),IQUIQUE
TARAPACA (I),ALTO HOSPICIO
TARAPACA (I),CAMINA
TARAPACA (I),COLCHANE
TARAPACA (I),HUARA
TARAPACA (I),PICA
TARAPACA (I),POZO ALMONTE
ANTOFAGASTA (II),ANTOFAGASTA
ANTOFAGASTA (II),CALAMA
ANTOFAGASTA (II),MARIA ELENA
ANTOFAGASTA (II),MEJILLONES
ANTOFAGASTA (II),OLLAGUE
ANTOFAGASTA (II),SAN PEDRO DE ATACAMA
ANTOFAGASTA (II),SIERRA GORDA
ANTOFAGASTA (II),TALTAL
ANTOFAGASTA (II),TOCOPILLA
AYSEN (XI),COYHAIQUE
AYSEN (XI),CHILE CHICO
AYSEN (XI),CISNES
AYSEN (XI),LAGO VERDE
AYSEN (XI),GUAITECAS
AYSEN (XI),OHIGGINS
AYSEN (XI),TORTEL
AYSEN (XI),COCHRANE
AYSEN (XI),AYSEN
AYSEN (XI),RIO IBANEZ
MAGALLANES (XII),PUNTA ARENAS
MAGALLANES (XII),LAGUNA BLANCA
MAGALLANES (XII),PORVENIR
MAGALLANES (XII),PRIMAVERA
MAGALLANES (XII),RIO VERDE
MAGALLANES (XII),SAN GREGORIO
MAGALLANES (XII),TIMAUKEL
MAGALLANES (XII),CABO DE HORNOS
MAGALLANES (XII),TORRES DEL PAINE
MAGALLANES (XII),NATALES
MAGALLANES (XII),ANTARTICA
